property_id,assessor_parcel_id,pin,site_address,zip_code,council_district,community_plan_area,neighborhood_council,base_zoning,base_zoning_description,full_zoning_code,general_plan_land_use,specific_plan_area,overlay_count,lot_size_sqft,building_size_sqft,year_built,number_of_units,use_code,assessed_land_value,assessed_improvement_value,total_assessed_value,toc_eligible,opportunity_zone,high_quality_transit,residential_market_area,commercial_market_area,methane_zone,flood_zone,fault_zone,rent_stabilization,housing_replacement_required,data_completeness_score
247,4306-019-012,129B169 823,1721 S BAGLEY AVE,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6200.2,4049.0,1941.0,1.0,0100 - Residential - Single Family Residence,1697932.0,1537774.0,3235706.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306019012],,90.6
248,4306-019-013,129B169 837,1731 S BAGLEY AVE,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,5247.1,1646.0,1950.0,1.0,0100 - Residential - Single Family Residence,406321.0,114472.0,520793.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306019013],,90.6
249,4306-019-014,129B169 859,9255 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7801.9,4647.0,2017.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,2721894.0,1858982.0,4580876.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306019014],,90.6
250,4306-019-015,129B169 819,9259 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,9551.4,3209.0,1947.0,1.0,0101 - Residential - Single Family Residence - Pool,1348629.0,348802.0,1697431.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306019015],,90.6
251,4306-019-016,129B169 811,9265 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,8863.4,1975.0,1940.0,1.0,0101 - Residential - Single Family Residence - Pool,87244.0,88339.0,175583.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306019016],,90.6
252,4306-019-017,129B169 800,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,3510.8,9155.0,2013.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,1538992.0,2537627.0,4076619.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306019017],,84.4
253,4306-019-020,129B169 788,9279 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7051.4,4130.0,1940.0,1.0,0101 - Residential - Single Family Residence - Pool,1446747.0,1080825.0,2527572.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306019020],,90.6
254,4306-020-001,129B169 713,9282 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,5593.8,3260.0,1946.0,1.0,0100 - Residential - Single Family Residence,411022.0,341394.0,752416.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020001],,90.6
255,4306-020-002,129B169 718,9276 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,5631.3,3979.0,2018.0,1.0,0100 - Residential - Single Family Residence,1324387.0,1127676.0,2452063.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020002],,90.6
256,4306-020-003,129B169 722,9270 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6190.6,1897.0,1941.0,1.0,0100 - Residential - Single Family Residence,373765.0,409239.0,783004.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020003],,90.6
257,4306-020-004,129B169 778,9301 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6510.4,3777.0,2018.0,1.0,0100 - Residential - Single Family Residence,1428619.0,899400.0,2328019.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020004],,90.6
258,4306-020-005,129B169 774,9307 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,5779.3,1753.0,1947.0,1.0,0100 - Residential - Single Family Residence,940621.0,308985.0,1249606.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020005],,90.6
259,4306-020-006,129B169 766,9313 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,5844.8,1931.0,1947.0,1.0,0100 - Residential - Single Family Residence,690009.0,188642.0,878651.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020006],,90.6
260,4306-020-007,129B169 759,9321 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6376.2,1796.0,1941.0,1.0,0100 - Residential - Single Family Residence,303102.0,84885.0,387987.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020007],,90.6
261,4306-020-008,129B165 556,9327 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6435.0,3098.0,1941.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,848144.0,809406.0,1657550.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020008],,90.6
262,4306-020-009,129B165 550,9333 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6559.7,2114.0,1941.0,1.0,0101 - Residential - Single Family Residence - Pool,1010681.0,397226.0,1407907.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020009],,90.6
263,4306-020-010,129B165 545,9339 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6663.5,1891.0,1942.0,1.0,0100 - Residential - Single Family Residence,1239476.0,338880.0,1578356.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020010],,90.6
264,4306-020-011,129B165 541,9345 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6786.2,1886.0,1942.0,1.0,0100 - Residential - Single Family Residence,606641.0,165853.0,772494.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020011],,90.6
265,4306-020-012,129B165 538,9351 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7004.0,2121.0,1942.0,1.0,0100 - Residential - Single Family Residence,1645933.0,449956.0,2095889.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020012],,90.6
266,4306-020-013,129B165 537,9357 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7135.2,2315.0,1941.0,1.0,0100 - Residential - Single Family Residence,637573.0,335488.0,973061.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020013],,90.6
267,4306-020-014,129B165 534,9363 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7252.7,4629.0,2022.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,735035.0,1551236.0,2286271.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020014],,90.6
268,4306-020-015,129B165 535,9369 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,8669.3,2552.0,1949.0,1.0,0100 - Residential - Single Family Residence,562146.0,222849.0,784995.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020015],,90.6
269,4306-020-016,129B165 1032,1600 S REXFORD DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7662.0,2720.0,1942.0,1.0,0100 - Residential - Single Family Residence,1334033.0,364732.0,1698765.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020016],,90.6
270,4306-020-017,129B165 498,9366 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7012.8,2549.0,1950.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,1720005.0,681809.0,2401814.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020017],,90.6
271,4306-020-018,129B165 499,9358 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6903.6,4820.0,2007.0,1.0,0100 - Residential - Single Family Residence,922080.0,648764.0,1570844.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020018],,90.6
272,4306-020-019,129B165 500,9350 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6772.4,3302.0,1941.0,1.0,0101 - Residential - Single Family Residence - Pool,646326.0,350662.0,996988.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020019],,90.6
273,4306-020-020,129B165 504,9342 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6472.0,1790.0,1946.0,1.0,0100 - Residential - Single Family Residence,1591200.0,582624.0,2173824.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020020],,90.6
274,4306-020-021,129B165 506,9332 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6396.3,6025.0,2016.0,1.0,0100 - Residential - Single Family Residence,1558042.0,2120978.0,3679020.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020021],,90.6
275,4306-020-022,129B165 508,9324 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6248.1,2115.0,1946.0,1.0,0100 - Residential - Single Family Residence,519764.0,185693.0,705457.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020022],,90.6
276,4306-020-023,129B165 516,9316 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6144.7,1782.0,1946.0,1.0,0100 - Residential - Single Family Residence,410289.0,112161.0,522450.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020023],,90.6
277,4306-020-024,129B169 704,9312 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6190.3,913.0,2023.0,1.0,Not Available,1027915.0,1121608.0,2149523.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,Yes [APN: 4306020024],,90.6
278,4306-020-025,129B169 708,9300 W AIRDROME ST,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6220.5,1555.0,1946.0,1.0,0100 - Residential - Single Family Residence,56916.0,143400.0,200316.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306020025],,90.6
279,4306-021-001,129B169 848,9312 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6369.0,2997.0,1941.0,1.0,0100 - Residential - Single Family Residence,487691.0,435410.0,923101.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021001],,90.6
280,4306-021-002,129B169 854,9306 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6484.3,1726.0,1940.0,1.0,0100 - Residential - Single Family Residence,1295400.0,607955.0,1903355.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021002],,90.6
281,4306-021-003,129B169 862,9300 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6540.8,1754.0,1940.0,1.0,0100 - Residential - Single Family Residence,458443.0,185210.0,643653.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021003],,90.6
282,4306-021-004,129B169 869,9280 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6518.9,3792.0,1941.0,1.0,0103 - Residential - Single Family Residence - Pool and Misc.,445523.0,574879.0,1020402.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021004],,90.6
283,4306-021-005,129B169 877,9276 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6403.0,1958.0,1941.0,1.0,0101 - Residential - Single Family Residence - Pool,911050.0,249084.0,1160134.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021005],,90.6
284,4306-021-006,129B169 884,9268 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,5960.9,1743.0,1950.0,1.0,0100 - Residential - Single Family Residence,497089.0,186150.0,683239.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021006],,90.6
285,4306-021-007,129B169 895,9260 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6663.2,,,,0100 - Residential - Single Family Residence,1046445.0,828327.0,1874772.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021007],,81.2
286,4306-021-008,129B169 916,9250 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,7640.7,2748.0,1941.0,1.0,0100 - Residential - Single Family Residence,645623.0,272150.0,917773.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021008],,90.6
287,4306-021-009,129B169 962,9301 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6237.4,1922.0,1942.0,1.0,0100 - Residential - Single Family Residence,540981.0,182882.0,723863.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021009],,90.6
288,4306-021-010,129B169 948,9307 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6301.1,1685.0,1941.0,1.0,0100 - Residential - Single Family Residence,481166.0,165947.0,647113.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021010],,90.6
289,4306-021-011,129B169 941,9311 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6000.1,1558.0,1946.0,1.0,0100 - Residential - Single Family Residence,663329.0,242832.0,906161.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021011],,90.6
290,4306-021-013,129B169 920,9323 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6000.1,3176.0,1941.0,1.0,0100 - Residential - Single Family Residence,610207.0,536089.0,1146296.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021013],,90.6
291,4306-021-012,129B169 930,9317 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6000.1,3621.0,1941.0,1.0,0100 - Residential - Single Family Residence,843458.0,1400737.0,2244195.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021012],,90.6
292,4306-021-014,129B169 911,9327 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6242.0,2850.0,1948.0,1.0,0100 - Residential - Single Family Residence,712483.0,441172.0,1153655.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021014],,90.6
293,4306-021-015,129B169 901,9333 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6629.9,5949.0,2019.0,1.0,0100 - Residential - Single Family Residence,1210565.0,1661359.0,2871924.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306021015],,90.6
294,4306-022-001,129B165 590,9420 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,8389.4,1982.0,1941.0,1.0,0101 - Residential - Single Family Residence - Pool,904299.0,378353.0,1282652.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022001],,90.6
295,4306-022-002,129B165 587,9414 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6600.1,1837.0,1941.0,1.0,0100 - Residential - Single Family Residence,435155.0,135956.0,571111.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022002],,90.6
296,4306-022-003,129B165 584,9408 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6417.7,1800.0,1941.0,1.0,0100 - Residential - Single Family Residence,701333.0,191742.0,893075.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022003],,90.6
297,4306-022-004,129B165 582,9404 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6187.3,2041.0,1941.0,1.0,0100 - Residential - Single Family Residence,372727.0,290679.0,663406.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022004],,90.6
298,4306-022-005,129B165 580,9374 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6185.6,2240.0,1942.0,1.0,0100 - Residential - Single Family Residence,1232984.0,280085.0,1513069.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022005],,90.6
299,4306-022-006,129B165 578,9368 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6204.1,2039.0,1942.0,1.0,0100 - Residential - Single Family Residence,470711.0,476269.0,946980.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022006],,90.6
300,4306-022-007,129B165 579,9362 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6198.3,2460.0,1950.0,1.0,0101 - Residential - Single Family Residence - Pool,686201.0,187603.0,873804.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022007],,90.6
301,4306-022-008,129B165 581,9356 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6239.4,1868.0,1948.0,1.0,0100 - Residential - Single Family Residence,164010.0,142216.0,306226.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022008],,90.6
302,4306-022-009,129B165 583,9350 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6246.7,1849.0,1948.0,1.0,0100 - Residential - Single Family Residence,631090.0,172539.0,803629.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022009],,90.6
303,4306-022-010,129B165 586,9344 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6276.3,4047.0,2014.0,0.0,0101 - Residential - Single Family Residence - Pool,2056620.0,977813.0,3034433.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022010],,90.6
304,4306-022-011,129B165 589,9338 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6297.5,1826.0,1941.0,1.0,0100 - Residential - Single Family Residence,518524.0,109029.0,627553.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022011],,90.6
305,4306-022-012,129B165 595,9332 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6293.8,3664.0,2016.0,1.0,0100 - Residential - Single Family Residence,2340900.0,1137827.0,3478727.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022012],,90.6
306,4306-022-013,129B165 602,9326 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6288.4,1655.0,1941.0,1.0,0100 - Residential - Single Family Residence,302175.0,116371.0,418546.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022013],,90.6
307,4306-022-014,129B165 609,9320 W MONTE MAR DR,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6210.6,1602.0,1941.0,1.0,0100 - Residential - Single Family Residence,59604.0,466650.0,526254.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022014],,90.6
308,4306-022-015,129B165 594,,,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,1724.9,,,,010V - Residential - Single Family Residence - Vacant Land,417.0,0.0,417.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022015],Yes,78.1
309,4306-022-016,129B165 653,9339 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6428.0,1667.0,1941.0,1.0,0100 - Residential - Single Family Residence,64980.0,40969.0,105949.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022016],,90.6
310,4306-022-017,129B165 647,9345 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6315.6,2174.0,1941.0,1.0,0100 - Residential - Single Family Residence,746585.0,245663.0,992248.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022017],,90.6
311,4306-022-018,129B165 642,9349 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6271.9,4375.0,2018.0,1.0,0100 - Residential - Single Family Residence,2711160.0,1050817.0,3761977.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022018],,90.6
312,4306-022-019,129B165 638,9355 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6249.0,4768.0,2004.0,1.0,0100 - Residential - Single Family Residence,1874349.0,1366579.0,3240928.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022019],,90.6
313,4306-022-020,129B165 635,9401 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6249.8,3811.0,2015.0,1.0,0100 - Residential - Single Family Residence,675937.0,1466036.0,2141973.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022020],,90.6
314,4306-022-021,129B165 634,9407 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6249.1,3680.0,1941.0,1.0,0100 - Residential - Single Family Residence,1950615.0,479502.0,2430117.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022021],,90.6
315,4306-022-022,129B165 630,9411 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6249.9,1632.0,1941.0,1.0,0100 - Residential - Single Family Residence,144404.0,520000.0,664404.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022022],,90.6
316,4306-022-023,129B165 628,9417 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6622.4,3386.0,1941.0,1.0,0104 - Residential - Single Family Residence - Therapy Pool (Spa),436180.0,1436654.0,1872834.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022023],,90.6
317,4306-022-024,129B165 629,9423 W KIRKSIDE RD,90035,CD 5 - Katy Young Yaroslavsky,West Los Angeles,South Robertson,R1,Single Family Residential,R1V2,Low Residential,,0,6845.8,4264.0,1941.0,1.0,0100 - Residential - Single Family Residence,1956056.0,1274252.0,3230308.0,False,Not Eligible,Yes,High,High,Methane Zone,Outside Flood Zone,,No [APN: 4306022024],,90.6
